longitud,latitud
-68.344147,-34.595770
-68.276622,-34.633542
-68.187850,-34.720300
,
-68.331240,-34.586030
-68.232234,-34.721243
-68.349688,-34.685607
,
-68.341937,-34.588370
-68.394200,-34.554350
-68.422890,-34.567485
-68.228491,-34.735114
-68.458109,-34.583123
-68.223286,-34.724738
,
-68.367575,-34.614851
-68.367575,-34.614851
-68.321506,-34.601258
-68.055274,-34.758569
-68.055274,-34.758569
-68.544166,-34.588837
-68.333742,-34.623362
-68.333742,-34.623362
-68.333742,-34.623362
-68.333742,-34.623362
-68.425463,-34.617376
-68.331392,-34.622091
-68.331392,-34.622091
-68.397035,-34.581340
-68.337015,-34.637193
-68.337015,-34.637193
-68.279191,-34.629098
-68.279191,-34.629098
-68.363445,-34.709574
,
-68.417098,-34.564559
-68.333469,-34.578977
-67.871874,-34.595676
-68.381950,-34.644042
-68.320832,-34.616373
-68.320832,-34.616373
-68.148674,-34.527663
-68.294415,-34.556335
-68.100561,-34.596202
-68.274321,-34.616825
-68.371354,-34.584223
-68.328451,-34.643628
-68.356810,-34.608058
-68.368241,-34.634428
-68.229425,-34.725621
-68.391768,-34.620288
-68.391768,-34.620288
-68.371686,-34.676358
-68.290532,-34.564768
-68.355271,-34.603878
-68.309832,-34.628854
-68.313850,-34.625863
-68.352117,-34.626632
-68.371521,-34.590532
-68.362063,-34.635184
-68.314903,-34.613424
-68.283255,-34.624525
-68.361762,-34.623583
-68.331113,-34.672862
-68.226180,-34.721436
-68.323938,-34.631888
-68.343540,-34.748293
-68.294734,-34.640215
,
-68.711974,-35.041443
,
-68.548672,-34.586656
-68.696561,-35.032600
-68.677653,-35.041377
-68.351935,-34.739342
,
,
-68.341480,-34.648377
-68.260738,-34.897855
,
-68.234123,-34.725052
-68.697118,-35.032107
-68.277560,-34.580430
-68.456096,-34.582811
-68.318331,-34.677476
-68.133400,-34.680554
-68.520808,-34.580020
-68.697008,-35.030127
-68.319340,-34.641212
-68.277195,-34.645183
-68.693079,-35.027435
-69.582204,-35.471575
-69.590920,-35.495950
-69.590920,-35.495950
-69.594572,-35.487831
-69.594572,-35.487831
-69.577329,-35.470749
-69.577329,-35.470749
-69.590920,-35.495950
-69.160300,-33.304121
-68.707231,-35.036867
,
-69.146542,-33.364105
-68.243564,-34.663488
-68.243564,-34.663488
-69.574454,-35.469874
-69.042108,-33.777639
-69.042108,-33.777639
-68.322285,-34.600675
-69.591277,-35.475079
-69.591277,-35.475079
-69.591277,-35.475079
-69.591277,-35.475079
-69.591593,-35.473438
-69.591593,-35.473438
-69.132012,-33.363734
-67.700804,-34.979084
-67.700804,-34.979084
-67.700804,-34.979084
-67.700804,-34.979084
-68.322076,-34.666617
-68.322076,-34.666617
-68.184858,-34.728895
-68.184858,-34.728895
-68.184858,-34.728895
-68.184858,-34.728895
-68.184858,-34.728895
-68.184858,-34.728895
-67.816224,-34.861955
-67.699567,-34.987030
-69.142124,-33.461522
-69.039571,-33.768189
-69.039571,-33.768189
-69.039571,-33.768189
-68.344223,-34.606105
-68.349554,-34.651662
-69.125586,-33.328297
-68.378693,-34.647285
-68.378693,-34.647285
-68.378693,-34.647285
-69.023076,-33.584217
-69.068568,-33.762920
-68.378693,-34.647285
-68.378693,-34.647285
-67.534588,-35.008045
-67.632135,-34.981869
-69.588772,-35.473578
-69.588772,-35.473578
-68.392617,-34.623336
-68.392617,-34.623336
-68.392617,-34.623336
-68.392617,-34.623336
-68.392617,-34.623336
-68.392617,-34.623336
-69.140374,-33.347950
-69.130221,-33.738911
-69.130221,-33.738911
-69.130221,-33.738911
-69.581452,-35.471574
,
-69.583229,-35.472176
-68.344921,-34.630669
-68.344921,-34.630669
-68.344921,-34.630669
-68.344921,-34.630669
-68.384877,-34.644544
-68.384877,-34.644544
-68.331952,-34.623762
-68.331952,-34.623762
-69.024430,-33.589373
-69.024430,-33.589373
-69.064678,-33.784921
-68.321852,-34.615567
-68.321852,-34.615567
-68.379172,-34.644121
-68.379172,-34.644121
-68.379172,-34.644121
-68.379172,-34.644121
-68.345356,-34.650587
-68.345356,-34.650587
-68.345356,-34.650587
-68.345356,-34.650587
-68.345356,-34.650587
-68.345356,-34.650587
-68.347346,-34.650836
-68.347346,-34.650836
-68.381574,-34.642825
-68.381574,-34.642825
-68.375242,-34.646187
-68.375242,-34.646187
-68.349724,-34.652572
-68.349724,-34.652572
-68.346573,-34.652227
-68.346573,-34.652227
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.335233,-34.612778
-68.321028,-34.620636
-68.321028,-34.620636
-68.321028,-34.620636
-68.334654,-34.644381
-68.334654,-34.644381
,
-69.146428,-33.308501
-69.011888,-33.622846
-69.011888,-33.622846
-69.011888,-33.622846
-69.011888,-33.622846
-69.011888,-33.622846
-67.680504,-34.978983
-69.126142,-33.330402
-69.139640,-33.312084
-69.139640,-33.312084
-69.139640,-33.312084
-69.139640,-33.312084
-68.321598,-34.632862
-68.321598,-34.632862
-68.321598,-34.632862
-68.321598,-34.632862
-68.321598,-34.632862
-67.680115,-34.973851
-67.680115,-34.973851
-67.680115,-34.973851
-67.680115,-34.973851
-68.362604,-34.592146
,
-69.104468,-33.583580
-69.104468,-33.583580
-67.688190,-34.979913
-67.688190,-34.979913
-68.672366,-35.024833
-68.346474,-34.650692
-68.346474,-34.650692
-68.346474,-34.650692
-69.012424,-33.576923
-67.675754,-34.988955
-69.138935,-33.362355
-69.138935,-33.362355
-69.138935,-33.362355
,
-67.716662,-34.971187
-67.698912,-34.985744
-67.694295,-35.006045
-68.454383,-34.579725
-69.589601,-35.477882
-69.589601,-35.477882
-67.704502,-34.971151
-67.704502,-34.971151
-67.704502,-34.971151
-67.704502,-34.971151
-69.589972,-35.485556
-68.344352,-34.651176
-68.344352,-34.651176
-68.344352,-34.651176
-68.344352,-34.651176
-67.882554,-34.587913
-68.431294,-34.622236
-67.695366,-34.992038
-68.286221,-34.611247
-69.573997,-35.481801
-69.573997,-35.481801
,
,
-67.693978,-35.003622
-67.688760,-34.977906
-67.926026,-34.825313
,
-68.305549,-34.624592
-69.587148,-35.436586
-68.392274,-34.673402
-68.339287,-34.641332
-68.339287,-34.641332
-68.339287,-34.641332
-68.328607,-34.616932
-68.382270,-34.644812
-68.382270,-34.644812
-68.337726,-34.636973
-68.337726,-34.636973
-68.337726,-34.636973
-68.355829,-34.630248
-68.134976,-34.680595
-68.134976,-34.680595
-68.548985,-34.584623
-69.030924,-33.582969
-69.128012,-33.738833
-68.301760,-34.630003
-68.301760,-34.630003
-68.301760,-34.630003
-68.542214,-34.581134
-67.651279,-35.000534
-67.678703,-34.992170
-68.330835,-34.624553
-68.318220,-34.633700
-68.318220,-34.633700
-68.318220,-34.633700
-68.318220,-34.633700
-68.344109,-34.613627
-68.344109,-34.613627
-68.344109,-34.613627
-68.383208,-34.579977
-69.587769,-35.477545
-69.587769,-35.477545
-68.300349,-34.617951
-68.300349,-34.617951
-68.300349,-34.617951
-68.300349,-34.617951
-68.300349,-34.617951
-68.330323,-34.613972
-68.332529,-34.625411
-68.350531,-34.631934
-68.350531,-34.631934
-68.344197,-34.614618
-68.344197,-34.614618
-68.280062,-34.617393
-68.280062,-34.617393
-69.182639,-33.586255
-69.174064,-33.566937
-69.578458,-35.474734
-69.578458,-35.474734
-69.578458,-35.474734
-69.578458,-35.474734
-69.578458,-35.474734
-69.578458,-35.474734
-68.319654,-34.613946
-68.331138,-34.647896
-68.331138,-34.647896
-68.331138,-34.647896
-68.329946,-34.608775
-67.867417,-34.576480
-68.390993,-34.608299
-68.390993,-34.608299
-68.378034,-34.734574
-68.378034,-34.734574
-68.378034,-34.734574
-68.195453,-34.734817
-68.322749,-34.596409
-68.241335,-34.725163
-68.241335,-34.725163
-68.311816,-34.643106
-68.311816,-34.643106
-68.327985,-34.625676
-67.691797,-34.980836
,
-68.365261,-34.619784
-68.365261,-34.619784
-68.365261,-34.619784
-68.365261,-34.619784
-68.365261,-34.619784
-68.391527,-34.608368
-69.149275,-33.373871
-69.171050,-33.564042
-67.504473,-35.001434
-67.504473,-35.001434
-67.504473,-35.001434
-67.504473,-35.001434
-67.504473,-35.001434
-68.362604,-34.592146
-68.354219,-34.677724
-68.293369,-34.662583
-69.593241,-35.483548
-67.922227,-34.833749
-67.922227,-34.833749
-67.922227,-34.833749
-69.580213,-35.499759
-69.022326,-33.581646
-69.022326,-33.581646
-69.022326,-33.581646
-69.579815,-35.473873
-67.710863,-34.974118
-67.710863,-34.974118
-67.710863,-34.974118
-67.710863,-34.974118
-67.710863,-34.974118
-67.710863,-34.974118
-69.064797,-33.794535
-67.690508,-34.964201
-68.336344,-34.589230
-68.336344,-34.589230
-68.336344,-34.589230
-68.336344,-34.589230
-68.336344,-34.589230
-69.011182,-33.587903
-67.693794,-34.986504
,
,
,
-68.336344,-34.589230
-68.336344,-34.589230
-68.336344,-34.589230
-67.921378,-34.823696
-69.062687,-33.778339
-69.062687,-33.778339
-69.157747,-33.658195
-69.011672,-33.597091
-69.587694,-35.487044
-69.587694,-35.487044
-67.699111,-34.985816
-68.282827,-34.622178
-69.569005,-35.475853
-69.017682,-33.612433
-69.112912,-33.744316
-69.112912,-33.744316
-67.690746,-34.986835
-67.690746,-34.986835
-67.690746,-34.986835
-67.690746,-34.986835
-67.690746,-34.986835
-69.015335,-33.579188
-68.361195,-34.624091
-69.596525,-35.469617
-69.596525,-35.469617
-68.320019,-34.615600
-68.320019,-34.615600
-68.320019,-34.615600
-68.320019,-34.615600
-69.584542,-35.479689
-67.687916,-34.972321
-67.687916,-34.972321
-69.054992,-33.811162
,
,
-69.105086,-33.601061
-69.174534,-33.595113
-67.699194,-34.972232
-67.699194,-34.972232
-67.699194,-34.972232
-67.699194,-34.972232
-67.699194,-34.972232
-67.699194,-34.972232
-69.009477,-33.583890
-69.024493,-33.577836
-67.772651,-34.839463
-67.685903,-34.975699
-67.685903,-34.975699
-67.685903,-34.975699
